stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart
61,0.5,1.5,60.31856624998909,,60.31084183,60.31856624998909,60.80855016599526,60.80855016599526,60.81276024998806,61.09555208298843,61.14420312498987,left,-1.5,1,1,0.32178720900265034,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
62,0.5,1.5,61.153175125000416,,61.144374915995286,61.153175125000416,61.64168616599636,61.64168616599636,61.645844040991506,,61.84364454098977,right,1.5,0,0,0.19748204099596478,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
63,0.5,2,61.85173583299911,,61.843761332987924,61.85173583299911,62.34203304098628,62.34203304098628,62.34625324999797,62.62888525000017,62.660841332995915,right,2,0,0,0.31338791699090507,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
64,0.5,2.5,62.66870179098623,,62.66099270799896,62.66870179098623,63.158736165991286,63.158736165991286,63.162882707998506,63.44536124999286,63.610982832993614,left,-2.5,1,1,0.4400912499986589,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
65,0.5,2.5,63.619304707986885,,63.61112937500002,63.619304707986885,64.10873504099436,64.10873504099436,64.11296149999544,64.39607083,64.67745966599614,right,2.5,1,1,0.5609791250026319,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
66,0.5,2.5,64.68571941599657,,64.67758012498962,64.68571941599657,65.17546970798867,65.17546970798867,65.17978879099246,65.46225087498897,65.59399333,left,-2.5,1,1,0.408487167,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
67,0.5,2,65.60250879099476,,65.59415383299347,65.60250879099476,66.09222570799466,66.09222570799466,66.09702004099381,,66.36078412499046,left,-2,1,1,0.2555247499985853,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
68,0.5,2,66.36911599998712,,66.36094083299395,66.36911599998712,66.85880492,66.85880492,66.86309829099628,,67.00995149998926,left,-2,1,1,0.13845425000181422,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
69,0.5,2,67.01515333299176,,67.01007020799443,67.01515333299176,67.50891208299436,67.50891208299436,67.51324666599976,,67.74824787498801,left,-2,1,1,0.2373649170040153,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
70,0.5,1.5,67.75840091599093,,67.74836895799672,67.75840091599093,68.24736483299057,68.24736483299057,68.24736483299057,,68.41062454099301,right,1.5,0,0,0.1520657079963712,576925,001,2024-09-12_21h19.21.850,adaptive_staircase,2024.1.5,None,2024-09-12 21h19.26.489753 +0530
